label,game,engine,family,players,bits,bits_source,bits_exact,bits_closed_form,bits_resampled,resample_censored_frac,actions_declared,branch_mean,branch_max,input_size,len_mean,maxlen_declared,information,dynamics,chance,hidden_note,seconds
Mahjong 4p,rlcard:mahjong,rlcard,multi,4,109.56,closed form,,109.56,,,38,9.6,14,816,95.3,,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,three opponents' hands out of the unseen wall,1.4
Crazy eights 5p,crazy_eights(players=5),openspiel,multi,5,75.8,closed form,,75.8,,,58,2.5,8,372,82.4,10000,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Crazy eights 4p,crazy_eights(players=4),openspiel,multi,4,58.43,closed form,,58.43,,,58,2.5,8,319,83.5,10000,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Hearts 4p,hearts,openspiel,multi,4,56.23,closed form,,56.23,6.32,1.0,52,4.6,13,5088,59.9,64,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.1
Spades 4p,spades,openspiel,multi,4,56.23,closed form,,56.23,,,66,3.9,14,578,56.0,56,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Contract bridge 4p,bridge,openspiel,multi,4,56.23,closed form,,56.23,6.32,1.0,90,8.5,36,571,10.1,319,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,35.0
Contract bridge (RLCard),rlcard:bridge,rlcard,multi,4,56.23,closed form,,56.23,,,91,4.6,36,573,62.4,,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,the other three hands,0.2
Crazy eights 3p,crazy_eights(players=3),openspiel,multi,3,39.9,closed form,,39.9,,,58,2.5,8,266,83.9,10000,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Bridge uncontested bidding,bridge_uncontested_bidding,openspiel,card,2,32.92,closed form,,32.92,,,36,16.1,36,126,3.4,36,IMPERFECT_INFORMATION,SEQUENTIAL,SAMPLED_STOCHASTIC,partner's 13 cards out of 39 unseen,71.5
Euchre 4p,euchre,openspiel,multi,4,31.45,closed form,,31.45,6.32,1.0,31,2.3,5,935,21.3,29,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Dou Dizhu 3p,dou_dizhu,openspiel,multi,3,31.12,closed form,,31.12,,,26057,5.3,242,159,59.5,171,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Dou Dizhu 3p (RLCard),rlcard:doudizhu,rlcard,multi,3,31.12,closed form,,31.12,,,27472,5.4,307,790,61.4,,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,the opposing hands once the kitty is public,1.3
Gin rummy (standard),"gin_rummy(num_ranks=13,num_suits=4,hand_size=10,knock_card=10)",openspiel,dial,2,30.06,closed form,,30.06,0.0,0.0,241,6.4,12,644,112.6,300,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,opponent's 10 cards out of the 41 I have not seen,0.5
Gin Rummy (RLCard),rlcard:gin-rummy,rlcard,card,2,30.06,closed form,,30.06,,,110,6.2,18,260,118.4,,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,opponent's 10-card hand out of 41 unseen,1.3
"Gin dial: deck 48, hand 10","gin_rummy(num_ranks=12,num_suits=4,hand_size=10,knock_card=10)",openspiel,dial,2,28.38,closed form,,28.38,0.0,0.0,241,6.4,12,644,95.0,300,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.5
UNO 2p,rlcard:uno,rlcard,card,2,28.38,closed form,,28.38,,,61,1.8,8,240,43.5,,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,"opponent's hand, drawn from the unseen deck",0.9
"Gin dial: deck 44, hand 9","gin_rummy(num_ranks=11,num_suits=4,hand_size=9,knock_card=9)",openspiel,dial,2,25.64,closed form,,25.64,0.0,0.0,241,5.9,11,644,89.9,300,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.5
Skat 3p,skat,openspiel,multi,3,25.35,closed form,,25.35,,,39,4.2,12,299,29.0,35,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Cribbage 2p,cribbage(players=2),openspiel,card,2,23.16,closed form,,23.16,,,2757,3.8,15,1,173.9,4400,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.1
Crazy eights 2p,crazy_eights(players=2),openspiel,card,2,20.39,closed form,,20.39,,,58,2.7,10,213,85.4,10000,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
Crazy eights 2p (special cards),"crazy_eights(players=2,use_special_cards=True)",openspiel,card,2,20.39,closed form,,20.39,,,58,2.9,10,214,83.1,10000,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.0
"Gin dial: deck 30, hand 8","gin_rummy(num_ranks=10,num_suits=3,hand_size=8,knock_card=8)",openspiel,dial,2,17.63,closed form,,17.63,0.0,0.0,241,5.3,10,644,42.9,300,IMPERFECT_INFORMATION,SEQUENTIAL,EXPLICIT_STOCHASTIC,,0.5
